t,x,y,z,w,w_pred,v,q
11.18,-30.0,-3.244662,0.8,1.6,1.6,50.0,0.0
11.19,-30.0,-3.174659,0.8,1.6,1.6,50.0,0.0
11.2,-30.0,-3.104655,0.8,1.6,1.6,50.0,0.0
11.21,-30.0,-3.034652,0.8,1.6,1.6,50.0,0.0
11.22,-30.0,-2.964648,0.8,1.6,1.6,50.0,0.0
11.23,-30.0,-2.894645,0.8,1.6,1.6,50.0,0.0
11.24,-30.0,-2.824641,0.8,1.6,1.6,50.0,0.0
11.25,-30.0,-2.754638,0.8,1.6,1.6,50.0,0.0
11.26,-30.0,-2.684634,0.8,1.6,1.6,50.0,0.0
11.27,-30.0,-2.614631,0.8,1.6,1.6,50.0,0.0
11.28,-30.0,-2.544627,0.8,1.6,1.6,50.0,0.0
11.29,-30.0,-2.474624,0.8,1.6,1.6,50.0,0.0
11.3,-30.0,-2.40462,0.8,1.6,1.6,50.0,0.0
11.31,-30.0,-2.334617,0.8,1.6,1.6,50.0,0.0
11.32,-30.0,-2.264613,0.8,1.6,1.6,50.0,0.0
11.33,-30.0,-2.19461,0.8,1.6,1.6,50.0,0.0
11.34,-30.0,-2.124606,0.8,1.6,1.6,50.0,0.0
11.35,-30.0,-2.054603,0.8,1.6,1.6,50.0,0.0
